	;Gen 1; Gen 2; Gen 3; Gen 4; Gen 5; Gen 6; Gen 7;  Gen 8; Gen 9; Gen 10; Gen 11; Gen 12; Gen 13; Gen 14; Gen 15; Gen 16; Gen 17;  Gen 18; Gen 19; Gen 20
 Exe 1;-13,72363;-13,72363;-13,73091;-13,73941;-13,73941;-13,73941;-13,73941;-13,73941;-13,73941;-13,73941;-13,73941;-13,73941;-13,73941;-13,73941;-13,73941;-13,73941;-13,73941;-13,73941;-13,73941;-13,73941;
 Exe 2;-9,40884;-16,37233;-16,37233;-16,65365;-16,65365;-16,65365;-16,65365;-16,65365;-16,65365;-16,65365;-16,65365;-16,65365;-16,65365;-16,65365;-16,65365;-16,65365;-16,65365;-16,65365;-16,65365;-16,52694;
 Exe 3;-10,3507;-10,3507;-10,3507;-15,48265;-15,48265;-15,48265;-15,48265;-16,37233;-16,37233;-16,37233;-16,81364;-16,81364;-16,81364;-16,81364;-16,81364;-16,81364;-16,81364;-16,81364;-16,81364;-16,82218;
 Exe 4;-4,04309;-4,04309;-9,68008;-9,68008;-9,68008;-9,96124;-10,24052;-10,24052;-10,24052;-10,3507;-10,3507;-10,3507;-10,52427;-10,60584;-16,87594;-16,87594;-16,87594;-16,87594;-16,87594;-16,87594;
 Exe 5;-15,67997;-15,67997;-15,67997;-15,67997;-15,67997;-15,67997;-16,50155;-16,85935;-16,87594;-16,85935;-16,85935;-16,85935;-16,85935;-16,85935;-16,85935;-16,85935;-16,85935;-16,85935;-16,85935;-16,85935;
 Exe 6;-7,52572;-7,52572;-14,02151;-14,02151;-14,02151;-16,73877;-16,52694;-16,63472;-16,63472;-16,63472;-16,63472;-16,63472;-16,63472;-16,63472;-16,81364;-16,85935;-16,85935;-16,85935;-16,85935;-16,85935;
 Exe 7;-13,11658;-13,11658;-13,73091;-13,73091;-15,67997;-16,8635;-16,8635;-16,8635;-16,8635;-16,8635;-16,8635;-16,8635;-16,8635;-16,8635;-16,87594;-16,87594;-16,87594;-16,87594;-16,87594;-16,87594;
 Exe 8;-13,73091;-16,63472;-16,75215;-16,75215;-16,85935;-16,8635;-16,8635;-16,81364;-16,81364;-16,81364;-16,81364;-16,82218;-16,82218;-16,82218;-16,87594;-16,87594;-16,87594;-16,87594;-16,87594;-16,87594;
 Exe 9;-15,67997;-16,87594;-15,67997;-15,67997;-15,67997;-16,37233;-16,37233;-16,37233;-16,37233;-15,40337;-15,40337;-15,40337;-16,37233;-16,37233;-16,37233;-16,81364;-16,85935;-16,85935;-16,85935;-16,85935;
 Exe 10;-13,00759;-13,00759;-15,92834;-16,19018;-16,19018;-16,19018;-16,52694;-16,52694;-16,8635;-16,8635;-16,8635;-16,8635;-16,8635;-16,8635;-16,8635;-16,8635;-16,8635;-16,87594;-16,87594;-16,87594;
 Exe 11;

Média: ;-11,6267;-12,73303;-14,19269;-14,76105;-14,96668;-15,45452;-15,5771;-15,70764;-15,74296;-15,65542;-15,69955;-15,7004;-15,81466;-15,82281;-16,47434;-16,52304;-16,52761;-16,52885;-16,52885;-16,51703;
