	;Iter 1; Iter 2; Iter 3; Iter 4; Iter 5; Iter 6; Iter 7; Iter 8; Iter 9; Iter 10 
 Gen 1;-16,59956;-16,70425;-16,77798;-16,77798;-16,77798;-16,77798;-16,77798;-16,77804;-16,77804;-16,77805;
 Gen 2;-15,85886;-16,11268;-16,38332;-16,45193;-16,46267;-16,61824;-16,61824;-16,65078;-16,66309;-16,66558;
 Gen 3;-16,72874;-16,72874;-16,79114;-16,79114;-16,8741;-16,8741;-16,87576;-16,87601;-16,87601;-16,87601;
 Gen 4;-16,4557;-16,73629;-16,73629;-16,74197;-16,74435;-16,74435;-16,74543;-16,87212;-16,87212;-16,876;
 Gen 5;-15,80963;-16,28363;-16,83799;-16,83799;-16,86971;-16,8728;-16,87592;-16,87597;-16,87597;-16,87601;
 Gen 6;-16,87266;-16,87266;-16,87266;-16,87266;-16,87266;-16,87266;-16,87266;-16,87266;-16,87266;-16,87266;
 Gen 7;-11,90719;-12,65549;-13,44213;-14,4603;-14,65848;-14,70492;-14,79512;-14,8245;-14,89363;-14,89363;
 Gen 8;-15,42853;-15,92834;-15,92834;-16,12121;-16,13873;-16,17947;-16,17947;-16,17947;-16,18013;-16,18013;
 Gen 9;-16,05104;-16,24675;-16,24675;-16,24675;-16,25729;-16,28966;-16,29747;-16,30256;-16,30276;-16,30339;
 Gen 10;-15,92834;-16,30006;-16,36556;-16,38367;-16,41584;-16,4661;-16,49209;-16,49209;-16,49473;-16,49473;
 Gen 11;

Média: ;-16,75278;-16,44854;-16,82917;-16,75246;-16,70156;-16,87266;-14,12354;-16,04438;-16,25444;-16,38332;
