	;Gen 1; Gen 2; Gen 3; Gen 4; Gen 5; Gen 6; Gen 7;  Gen 8; Gen 9; Gen 10; Gen 11; Gen 12; Gen 13; Gen 14; Gen 15; Gen 16; Gen 17;  Gen 18; Gen 19; Gen 20
 Ite 1;-15,92834;-15,92834;-16,32721;-16,32721;-16,32721;-16,41683;-16,41683;-16,41683;-16,41683;-16,4176;-16,41975;-16,42221;-16,4257;-16,4257;-16,42823;-16,43073;-16,43073;-16,43073;-16,4326;-16,4326;
 Ite 2;-16,77521;-16,85273;-16,87591;-16,87591;-16,87591;-16,87591;-16,876;-16,876;-16,87601;-16,87601;-16,87601;-16,87601;-16,87601;-16,87601;-16,87601;-16,87601;-16,87601;-16,87601;-16,87601;-16,87601;
 Ite 3;-15,93221;-15,98306;-15,98306;-15,99298;-15,99693;-15,99693;-15,99714;-15,99714;-15,99715;-15,99715;-15,99715;-15,99718;-15,99718;-15,99719;-15,99719;-15,99719;-15,99719;-15,99719;-15,99719;-15,99719;
 Ite 4;-16,01836;-16,27611;-16,59857;-16,59857;-16,59857;-16,66443;-16,76242;-16,76242;-16,7916;-16,7916;-16,7916;-16,7916;-16,79747;-16,79747;-16,79751;-16,79805;-16,79805;-16,79826;-16,79826;-16,79826;
 Ite 5;-15,92834;-15,92834;-15,92834;-15,92834;-15,92834;-15,92834;-15,92834;-15,92834;-15,92834;-15,92834;-15,92834;-15,92834;-15,92834;-15,92834;-15,92834;-15,92834;-15,92834;-15,92834;-15,92834;-15,92834;
 Ite 6;-15,92834;-16,73849;-16,8182;-16,85198;-16,85198;-16,85198;-16,85905;-16,86226;-16,86829;-16,86847;-16,86847;-16,86852;-16,86852;-16,86853;-16,86853;-16,86854;-16,86854;-16,86854;-16,86854;-16,86854;
 Ite 7;-16,87421;-16,87601;-16,87601;-16,87601;-16,87601;-16,86771;-16,87398;-16,876;-16,876;-16,876;-16,876;-16,876;-16,87601;-16,87601;-16,87601;-16,87601;-16,87601;-16,87601;-16,87601;-16,87601;
 Ite 8;-15,92834;-15,92834;-15,92834;-16,07094;-16,11761;-16,11761;-16,12857;-16,4992;-16,7248;-16,82546;-16,82546;-16,84891;-16,85665;-16,85665;-16,86362;-16,86992;-16,86992;-16,87177;-16,87177;-16,87177;
 Ite 9;-16,85058;-16,85058;-16,85058;-16,85493;-16,8647;-16,86762;-16,86762;-16,87587;-16,87587;-16,87601;-16,87601;-16,87601;-16,87601;-16,87601;-16,87601;-16,87601;-16,87601;-16,87601;-16,87601;-16,87601;
 Ite 10;-14,24202;-14,45145;-15,92834;-15,92834;-16,32852;-16,32852;-16,32852;-16,32852;-16,32852;-16,42452;-16,42452;-16,42789;-16,42789;-16,42789;-16,42999;-16,43225;-16,43225;-16,43225;-16,43242;-16,43242;
 Ite 11;

Média: ;-32,72022;-33,73957;-31,98456;-33,38292;-31,85668;-33,61843;-33,7508;-33,08756;-33,73945;-32,2917;
