	;Teste 1; Teste 2; Teste 3;Teste 4; Teste 5; Teste 6;Teste 7; Teste 8; Teste 9;Teste 10 
 Iteracao 1;-10,59417;-11,31862;-15,98089;-12,50976;-13,68348;-3,50561;-8,92323;-13,11658;-16,33933;-8,38082;
 Iteracao 2;-8,83393;-9,48899;-15,98089;-13,41646;-16,85935;-13,61891;-5,67842;-13,11658;-16,33933;-11,64468;
 Iteracao 3;-15,48265;-12,09926;-15,98089;-13,41646;-16,85935;-13,61891;-9,40884;-13,11658;-16,33933;-11,64468;
 Iteracao 4;-15,48265;-16,8635;-12,48628;-14,76674;-16,85935;-13,61891;-9,40884;-12,48628;-13,64168;-10,37442;
 Iteracao 5;-14,40749;-16,81364;-12,9603;-10,51189;-16,85935;-16,52694;-12,35811;-12,48628;-13,64168;-7,30594;
 Iteracao 6;-9,44021;-8,83393;-11,31862;-7,95466;-16,50155;-6,87107;-12,35811;-12,48628;-10,27151;-12,22885;
 Iteracao 7;-10,5125;-11,82004;-8,82085;-7,95466;-12,9603;-16,8635;-12,35811;-16,8635;-10,27151;-12,22885;
 Iteracao 8;-13,68348;-15,98089;-10,15031;-6,92458;-12,9603;-16,8635;-11,52099;-16,8635;-14,54387;-13,64168;
 Iteracao 9;-16,50155;-15,98089;-12,50976;-7,43138;-13,79727;-16,8635;-8,81831;-8,92561;-14,54387;-16,37233;
 Iteracao 10;-9,44021;-15,98089;-12,50976;-7,45354;-6,71486;-16,8635;-13,11658;-13,56132;-16,75215;-13,64168;

Média: ;-12,43788;-13,51807;-12,86985;-10,23401;-14,40552;-13,52144;-10,39496;-13,30225;-14,26843;-11,74639;
