	;Teste 1; Teste 2; Teste 3;Teste 4; Teste 5; Teste 6;Teste 7; Teste 8; Teste 9;Teste 10 
 Iteracao 1;-13,64168;-12,70841;-11,20268;-12,35811;-10,57074;-8,44356;-13,41646;-10,97044;-16,85935;-12,50976;
 Iteracao 2;-8,92323;-13,64168;-8,92323;-15,48265;-16,52694;-9,96868;-10,51189;-10,97044;-16,85935;-14,40749;
 Iteracao 3;-14,76674;-13,64168;-15,67997;-14,76674;-16,52694;-9,96868;-12,2209;-16,82218;-11,0394;-16,82218;
 Iteracao 4;-16,63472;-13,64168;-14,02151;-14,76674;-13,79727;-16,75215;-16,87594;-16,82218;-13,18024;-16,82218;
 Iteracao 5;-16,52694;-9,48899;-10,59799;-7,71427;-3,76617;-16,52694;-10,51067;-16,82218;-3,20477;-16,82218;
 Iteracao 6;-16,52694;-9,48899;-10,59799;-10,52427;-12,7202;-6,40281;-10,11067;-14,40749;-10,59417;-16,82218;
 Iteracao 7;-16,52694;-10,24052;-7,4727;-13,45743;-12,7202;-15,48265;-14,02151;-16,75215;-6,25172;-16,82218;
 Iteracao 8;-13,69828;-9,85425;-13,73091;-13,27866;-4,57846;-15,48265;-14,02151;-16,85935;-13,5299;-3,04468;
 Iteracao 9;-13,69828;-14,54387;-12,5961;-15,1947;-10,97044;-16,19018;-10,97044;-16,85935;-13,5299;0,23551;
 Iteracao 10;-12,09926;-8,29459;-13,45743;-15,1947;-13,45743;-16,19018;-10,97044;-16,85935;-12,35811;-10,44117;
 Iteracao 11;
	;Teste 1; Teste 2; Teste 3;Teste 4; Teste 5; Teste 6;Teste 7; Teste 8; Teste 9;Teste 10 
 Iteracao 1;-16,82218;-16,82218;-11,31862;-2,0466;-10,15031;-16,37233;-14,54387;-13,73941;-2,78018;-5,61333;
 Iteracao 2;-7,10208;-14,54387;-8,24489;-15,09884;-7,46644;-9,60414;-13,56132;-13,73941;-9,85425;-5,61333;
 Iteracao 3;-5,00573;-16,82218;-16,82218;-16,19018;-10,52427;-10,5125;-16,52694;-13,73941;-16,63472;-5,61333;
 Iteracao 4;-5,00573;-16,63472;-16,82218;-16,19018;-11,64468;-10,5125;-10,24052;-13,73941;-11,17505;-10,45875;
 Iteracao 5;-14,02151;-16,63472;-16,8635;-16,19018;-2,85017;-10,61814;-10,11067;-9,68008;-13,5299;-14,88157;
 Iteracao 6;-16,8635;-16,8635;-12,7202;-16,19018;-16,82218;-16,75215;-13,68348;-5,61333;-13,79727;-8,92323;
 Iteracao 7;-12,48628;-7,47696;-15,67997;-16,19018;-4,338;-7,765;-12,5961;-5,61333;-12,7202;-8,92323;
 Iteracao 8;-13,79727;-11,70955;-15,67997;-5,84184;-16,8635;-9,28137;-12,5961;-12,50976;-7,45354;-14,54387;
 Iteracao 9;-16,1482;-11,70955;-15,67997;-9,79235;-13,00759;-9,28137;-13,18024;-12,48628;-10,52427;-14,54387;
 Iteracao 10;-16,82218;-4,12451;-16,87594;-7,95466;-13,00759;-10,15031;-13,79727;-16,1482;-10,52427;-16,33933;

Média: ;-11,0209;-10,48286;-12,83914;-12,24237;-12,53805;-13,8229;-10,37893;-12,02768;-12,63537;-12,57443;
	;Teste 1; Teste 2; Teste 3;Teste 4; Teste 5; Teste 6;Teste 7; Teste 8; Teste 9;Teste 10 
 Iteracao 1;-13,17142;-15,92834;-1,12218;-13,72363;-16,85935;-10,8657;-16,8635;-12,35811;-15,74489;-15,40337;
 Iteracao 2;-13,3303;-15,92834;-5,61333;-13,72363;-16,85935;-10,8657;-16,8635;-12,81274;-13,79727;-15,48265;
 Iteracao 3;-5,67842;-15,92834;-10,27151;-13,72363;-10,8657;-10,8657;-12,93037;-10,20946;-16,65365;-10,20946;
 Iteracao 4;-14,88157;-15,92834;-8,66226;-10,44117;-10,8657;-10,8657;-12,70841;-15,1947;-16,8635;-12,81274;
 Iteracao 5;-10,97044;-8,66226;-8,66226;-10,44117;-16,1482;-10,8657;-10,51067;-15,1947;-10,15031;-12,81274;
 Iteracao 6;-8,01124;-2,96255;-13,73091;-16,50155;-16,1482;-3,71463;-13,11658;-15,1947;-13,56132;-15,92834;
 Iteracao 7;-16,87594;-1,27546;-16,37233;-16,85935;-16,1482;-15,1947;-13,11658;-15,1947;-13,56132;-15,92834;
 Iteracao 8;-15,92834;-9,85425;-4,9177;-16,85935;-16,1482;-15,1947;-16,75215;-15,98089;-0,149;-15,92834;
 Iteracao 9;-15,92834;-10,03959;-9,17055;-16,85935;-7,71427;-16,8635;-10,27151;-7,37022;-13,18024;-15,92834;
 Iteracao 10;-15,92834;-8,56379;-10,51189;-16,85935;-7,71427;-16,8635;-12,35811;-13,61891;-13,72363;-3,29465;

Média: ;-13,20405;-13,52768;-11,73363;-12,92241;-11,44184;-11,887;-14,05269;-12,77129;-12,33259;-11,94364;
