
20 I - 100 P , Melhor, Média Interações
1 E,-959.6327674950523 ,-4494.082402503624
2 E,-779.7902362225219 ,-3109.166008212944
3 E,-716.0486250408467 ,-2561.5171451036954
4 E,-881.8192673689007 ,-3035.1991603477527
5 E,-959.6373266609951 ,-4262.227385958652
6 E,-959.5725647861002 ,-4010.671826921179
7 E,-893.9542826778495 ,-3533.528752788928
8 E,-784.6464062964671 ,-2973.2446003617442
9 E,-703.1157237239713 ,-2681.8943583723217
10 E,-854.5470955261071 ,-2052.8257670881317


20 I - 50 P , Melhor, Média Interações
1 E,-562.6010089716018 ,-899.6733792102605
2 E,-756.5867731932308 ,-1297.9073341705569
3 E,-891.3224062356094 ,-1582.1218007722696
4 E,-826.6740855205904 ,-1117.835215158158
5 E,-792.073727869083 ,-983.186491432999
6 E,-886.7205756268074 ,-2073.3538831568703
7 E,-885.5987144933197 ,-1665.9780320207888
8 E,-876.2700785183008 ,-1419.8235619046106
9 E,-821.1142004863032 ,-1671.855754062261
10 E,-890.9921583001806 ,-1471.0409055981854


20 I - 50 P , Melhor, Média Interações
1 E,-861.529250768072 ,-1535.9560085060511
2 E,-938.1725382221279 ,-1747.0659647740827
3 E,-942.1772615660504 ,-1712.926213106853
4 E,-851.6233637630066 ,-1498.3741074821587
5 E,-959.6386387718676 ,-2283.3186515634807
6 E,-785.0506659260789 ,-1174.3155463491466
7 E,-959.6251571606005 ,-1913.803859866614
8 E,-653.5567106500787 ,-1084.3834106179838
9 E,-693.2398904181953 ,-1178.3677766160386
10 E,-649.2621204715404 ,-850.6244246488999


